Pdv;NOM PDV;RUE;Rue 2;CP;LOCALITE;Téléphone;E-Mail distributeur;Canal;Libellé;S-Canal;Libellé;Tête de groupe;Nom tête de groupe;Intercanal;Désignation Inter-canal;AGENCE COM.;Libellé;Chef vente;Libellé;Ingénieur Com;Libellé;Pdv en travaux
1016542;COVERCOM DIJON LIBERTE;24 RUE DE LA LIBERTE;;21000;DIJON;03 80 50 87 50;dijon1@covercom.fr;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1000412;COVERCOM;IC08;INDEPENDANTS;AG02;Centre-Est PGP;Z20;S. Verlant;M22;J. Salvat;NON
1016545;CARRE PHONE LYON;71 AVENUE DES FRERES LUMIERE;;69008;LYON;04 78 09 08 95;lyon8@carrephone.fr;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1016545;CARRE PHONE LYON;IC08;INDEPENDANTS;AG02;Centre-Est PGP;Z08;D. Parent Claude;M15;A. Mallet;NON
1016546;AB COM 2000 NEUILLY SUR SEINE;12 RUE MADELEINE MICHELIS;;92200;NEUILLY SUR SEINE;01 40 88 00 01;espace.neuilly@abcom2000.com;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1004536;AB COM 2000;IC08;INDEPENDANTS;AG01;Ile-de-France PGP;Z02;D. Sartori;M68;G. Bricard;NON
1016547;BREST TELEPHONE JEAN JAURES;9 RUE JEAN JAURES;;29200;BREST;02 98 46 20 09;michael.cunin@wanadoo.fr;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1000432;BREST TELEPHONE;IC08;INDEPENDANTS;AG03;Ouest PGP;Z22;Y. Daniel;M52;T. Picquot;NON
1016592;PROCOM SARL - PROCOM LA CIOTAT;ZAC DE L'ANCRE MARINE;CHEMIN DU PUITS DE BRUNET;13600;LA CIOTAT;04 42 03 00 43;espacesfrancremarine@gmail.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1013569;PRO LAUGIL - PROCOM;IC08;INDEPENDANTS;AG04;Méditerranée PGP;Z11;L. Limbal;M28;L. Cusimano;NON
1016853;SARREBOURG TELECOM;24 GRANDE RUE;;57400;SARREBOURG;03 87 03 45 20;sarrebourg.telecom@neuf.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1001883;FISCHER TELECOM SAS;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z07;G. Dommain;M77;G. Lacoste;NON
1016865;MODULO CARTES MAYENNE;36 PLACE GEORGES CLEMENCEAU;;53100;MAYENNE;02 43 32 19 09;mayenne@modulocartes.fr;C3;C3 Réseau Direct;3I;EspaceSFR indep Nv.E;1001777;MODULO CARTES GRAND PUBLIC;IC08;INDEPENDANTS;AG03;Ouest PGP;Z15;PAP CVR OUEST;M47;C. Miegebielle;NON
1017114;JETTEL TROYES ZOLA;87 RUE EMILE ZOLA;;10000;TROYES;03 25 73 20 20;espacesfr.zola@jettel.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1001891;JETTEL;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z25;A. Laroche;M02;A. Cinari;NON
1017120;TEMPO TELEPHONIE ROUEN;C CIAL SAINT SEVER;LOCAL N° 119 D - RDC;76100;ROUEN;02 32 83 52 94;espacesfr.rouen@sfr.fr;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1017119;TAPES RECORDS;IC08;INDEPENDANTS;AG03;Ouest PGP;Z21;G. Allain;M51;P. Fosse;NON
1017129;AUDIOPHONE CHATEAU THIERRY;13 RUE CHARLES DE GAULLE;;2400;CHATEAU THIERRY;03 23 69 02 07;sfrchateauthierry@audiophone.net;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1017128;AUDIOPHONE;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z23;F. Groux;M04;N. Martel;NON
1017131;PLANETE MOBILES MONT SAINT MARTIN;C CIAL AUCHAN POLE EUROPE;1 AVENUE DE L'EUROPE;54350;MONT SAINT MARTIN;03 82 23 13 99;planete-mobiles-auchan@neuf.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1017130;PROTTI;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z25;A. Laroche;M78;S. Issele;NON
1017375;CORSE GSM CORTE;C CIAL SUPER CASINO;ALLEE DU 9 SEPTEMBRE;20250;CORTE;04 95 34 44 34;agence4@corsegsm.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1011560;CORSE GSM / SOCODI;IC08;INDEPENDANTS;AG04;Méditerranée PGP;Z10;F. Depreeuw;M37;D. Alcantara;NON
1017677;ABC COM CHALON BANQUE;15 RUE DE LA BANQUE;;71100;CHALON SUR SAONE;03 85 93 00 15;espacesfr.banque@abccom.fr;C3;C3 Réseau Direct;3I;EspaceSFR indep Nv.E;869000;ABC COM;IC08;INDEPENDANTS;AG02;Centre-Est PGP;Z20;S. Verlant;M19;V. Bruneau;
1017679;COVERCOM DIJON 2;28/30 RUE MUSETTE;;21000;DIJON;03 80 30 59 88;dijon2@covercom.fr;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1000412;COVERCOM;IC08;INDEPENDANTS;AG02;Centre-Est PGP;Z20;S. Verlant;M22;J. Salvat;NON
1017702;SEVE FRANCE LIVRY GARGAN;79 /85 AV DU GENERAL NORDING;;93190;LIVRY GARGAN;01 43 30 58 54;seve-france@hotmail.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;935000;SEVE FRANCE;IC08;INDEPENDANTS;AG01;Ile-de-France PGP;Z01;S. Morin;M64;F. Chaudhry;NON
1017793;TIME MILLENAIRE;19 B RUE MADELEINE VIONNET;;93300;AUBERVILLIERS;01 43 52 30 00;espacesfrmillenaire@hotmail.fr;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1048969;TIME MILLENAIRE;IC08;INDEPENDANTS;AG01;Ile-de-France PGP;Z01;S. Morin;M71;B. Masset;NON
1018472;SELESTAT TELECOM;12 RUE DES CHEVALIERS;;67600;SELESTAT;03 88 82 80 40;selestat.telecom@gmail.com;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1001883;FISCHER TELECOM SAS;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z07;G. Dommain;M05;E. Feltes;NON
1018482;NOAM MARSEILLE;159 RUE DE ROME;;13006;MARSEILLE;04 91 48 77 67;ruederome@sfrnoam.fr;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1024941;NOAM TDG;IC08;INDEPENDANTS;AG04;Méditerranée PGP;Z11;L. Limbal;M28;L. Cusimano;NON
1018777;BJ ASSOCIES RODEZ;22 RUE NEUVE;;12000;RODEZ;05 65 68 20 18;bj.rodez@averontel.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1016001;BJ ASSOCIES;IC08;INDEPENDANTS;AG06;Sud-Ouest PGP;Z26;R. Juan;M39;I. Trift;NON
1018779;DIFFUSELECT CASTRES;27 ROUTE DE TOULOUSE;;81100;CASTRES;05 63 59 03 86;adv@sfr-castres.fr;C3;C3 Réseau Direct;S3;EspaceSFR indep 2009;1018778;DIFFUSELECT;IC08;INDEPENDANTS;AG06;Sud-Ouest PGP;Z26;R. Juan;M39;I. Trift;NON
1018781;ALPHA MOBILES DUNKERQUE;48 BOULEVARD ALEXANDRE III;;59140;DUNKERQUE;03 28 51 15 06;dunkerque@alphamobiles.com;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1001807;ALPHA MOBILES SYSTEMES;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z05;MA. Roquette;M06;JM. Liagre;NON
1018992;ROUGE COMMUNICATION VILLEFRANCHE;840 RUE NATIONALE;;69400;VILLEFRANCHE SUR SAONE;04 74 60 43 99;audrey@grouperouge.com;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1023397;ROUGE COMMUNICATION;IC08;INDEPENDANTS;AG02;Centre-Est PGP;Z09;A. Chareyron;M23;S. Benyamina;NON
1019486;AB COM 2000 LEVALLOIS PERRET;55 RUE DU PRESIDENT WILSON;;92300;LEVALLOIS PERRET;01 40 87 18 18;espace.levallois@abcom2000.com;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1004536;AB COM 2000;IC08;INDEPENDANTS;AG01;Ile-de-France PGP;Z02;D. Sartori;M68;G. Bricard;NON
1019521;ALPHA MOBILES DOUAI;35 RUE DE BELAIN;;59500;DOUAI;03 27 08 11 42;douai@alphamobiles.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1001807;ALPHA MOBILES SYSTEMES;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z05;MA. Roquette;M08;L. Ghemmaz;NON
1019600;CREUTZWALD TELECOM;GALERIE COMMERCIALE CC LECLERC;ZONE ARTISANALE;57150;CREUTZWALD;03 87 93 22 38;sfr.creutzwaldtelecom@gmail.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1001883;FISCHER TELECOM SAS;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z07;G. Dommain;M77;G. Lacoste;NON
1019621;AB COM 2000 PARIS 12;221 AVENUE DAUMESNIL;;75012;PARIS;01 40 01 05 55;espace.daumesnil@abcom2000.com;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1004536;AB COM 2000;IC08;INDEPENDANTS;AG01;Ile-de-France PGP;Z06;O. Fernandes;M61;S. El Korbi;NON
1020632;ABC COM LE CREUSOT;53 RUE DU MARECHAL FOCH;;71200;LE CREUSOT;03 85 73 07 77;espacesfr.lecreusot@abccom.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;869000;ABC COM;IC08;INDEPENDANTS;AG02;Centre-Est PGP;Z20;S. Verlant;M19;V. Bruneau;NON
1021196;CODITEL ISSOIRE;C CIAL CARREFOUR - LOCAL 2BIS;ZAC DES PRES - RUE JEAN BIGOT;63500;ISSOIRE;04 73 89 30 74;coditel@sfr.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1021196;CODITEL ISSOIRE;IC08;INDEPENDANTS;AG02;Centre-Est PGP;Z09;A. Chareyron;M20;S. Colnel;NON
1021216;COVERCOM MONTBELIARD;64 RUE CUVIER;;25200;MONTBELIARD;03 81 32 06 36;montbeliard@covercom.fr;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1000412;COVERCOM;IC08;INDEPENDANTS;AG02;Centre-Est PGP;Z20;S. Verlant;M75;L Schmitt;NON
1021964;CORSE GSM PORTO VECCHIO;C CIAL GEANT;;20137;PORTO VECCHIO;04 95 72 02 02;agence15@corsegsm.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1011560;CORSE GSM / SOCODI;IC08;INDEPENDANTS;AG04;Méditerranée PGP;Z10;F. Depreeuw;M37;D. Alcantara;NON
1021973;BREST TELEPHONE GOUESNOU;C CIAL GÉANT - No  B9;29  RUE DU GOUESNOU;29200;BREST;02 98 42 20 24;michael.cunin@wanadoo.fr;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1000432;BREST TELEPHONE;IC08;INDEPENDANTS;AG03;Ouest PGP;Z22;Y. Daniel;M52;T. Picquot;NON
1021995;CORSE GSM ILE ROUSSE;BOULEVARD DE FOGATA;RESIDENCE ISOLA CELESTE;20220;ILE ROUSSE;04 95 60 16 03;agence7@corsegsm.com;C3;C3 Réseau Direct;D3;Dist SFR PDM 2010;1011560;CORSE GSM / SOCODI;IC08;INDEPENDANTS;AG04;Méditerranée PGP;Z10;F. Depreeuw;M37;D. Alcantara;NON
1022032;CORSE GSM AJACCIO NAPOLEON 22;22 COURS NAPOLEON;;20000;AJACCIO;04 95 50 51 94;agence12@corsegsm.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1011560;CORSE GSM / SOCODI;IC08;INDEPENDANTS;AG04;Méditerranée PGP;Z10;F. Depreeuw;M37;D. Alcantara;NON
1022036;CORSE GSM MORIANI SAN NICOLAO;C CIAL CALA  DI SOGNU;;20230;SAN NICOLAO;04 95 36 34 47;agence3@corsegsm.com;C3;C3 Réseau Direct;D3;Dist SFR PDM 2010;1011560;CORSE GSM / SOCODI;IC08;INDEPENDANTS;AG04;Méditerranée PGP;Z10;F. Depreeuw;M37;D. Alcantara;NON
1022037;CORSE GSM CALVI;6 AVENUE DE LA REPUBLIQUE;;20260;CALVI;04 95 65 02 00;agence14@corsegsm.com;C3;C3 Réseau Direct;D3;Dist SFR PDM 2010;1011560;CORSE GSM / SOCODI;IC08;INDEPENDANTS;AG04;Méditerranée PGP;Z10;F. Depreeuw;M37;D. Alcantara;NON
1022038;CORSE GSM SIEGE FURIANI;IMMEUBLE GAZZO RN 193;;20600;FURIANI;04 95 30 53 61;agence2@corsegsm.com;C3;C3 Réseau Direct;D3;Dist SFR PDM 2010;1011560;CORSE GSM / SOCODI;IC08;INDEPENDANTS;AG04;Méditerranée PGP;Z10;F. Depreeuw;M37;D. Alcantara;NON
1022042;AB COM BOULOGNE BILLANCOURT;175 BOULEVARD JEAN JAURES;;92100;BOULOGNE BILLANCOURT;01 55 60 21 21;espace.boulogne@abcom2000.com;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1004536;AB COM 2000;IC08;INDEPENDANTS;AG01;Ile-de-France PGP;Z02;D. Sartori;M68;G. Bricard;NON
1022095;STAR AUTO DORLISHEIM;C CIAL CORA;1 RUE MERCURE;67120;DORLISHEIM;03 88 38 12 12;espacesfr.dorlisheim@sfr.fr;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1001783;STAR AUTO;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z28;T. Pilet;M79;A. Martinez;NON
1022109;MERILAC ORLEANS SUD;RUE BRILLAT SAVARIN;ZONE EXPO SUD;45100;ORLEANS;02 38 24 80 80;sfr.orleans.sud@sfr.fr;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1014026;MERILAC;IC08;INDEPENDANTS;AG03;Ouest PGP;Z15;PAP CVR OUEST;M48;PAP OUEST 1;NON
1022279;LCT MAZAMET;ZI de la Molière;;81200;MAZAMET;05 63 97 90 03;espacesfr.mazamet@lct.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1022367;LCT;IC08;INDEPENDANTS;AG06;Sud-Ouest PGP;Z26;R. Juan;M39;I. Trift;NON
1022348;ALPHA MOBILES BRUAY;C CIAL CORA;1115 AV DE LA LIBERATION;62700;BRUAY LA BUISSIERE;03 21 62 50 14;bruay@alphamobiles.com;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1001807;ALPHA MOBILES SYSTEMES;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z24;A. Courouble;M11;C. Meresse;NON
1022352;H COM YVETOT;14 PLACE DE L HOTEL DE VILLE;;76190;YVETOT;02 35 95 33 26;s.thomas@hubb.fr;C3;C3 Réseau Direct;S3;EspaceSFR indep 2009;1017862;H COM;IC08;INDEPENDANTS;AG03;Ouest PGP;Z21;G. Allain;M55;Y. Thorel;NON
1022463;AUDIOPHONE SAINT QUENTIN;14 RUE DES TOILES;;2100;SAINT QUENTIN;03 23 08 40 00;sfrstquentin@audiophone.net;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1017128;AUDIOPHONE;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z23;F. Groux;M04;N. Martel;NON
1022587;VD COM PGP CHALLANS;122 BIS RUE CARNOT;LIEU DIT LA JUISIERE;85300;CHALLANS;02 51 35 18 18;vdcomchallans@vdcom.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;368000;VD COM SAS;IC08;INDEPENDANTS;AG03;Ouest PGP;Z22;Y. Daniel;M53;C. Dupont Mancel;NON
1022634;RADIOTEL AUVERGNE MONTBRISON;2 PLACE DES COMBATTANTS;;42600;MONTBRISON;04 77 24 47 12;montbrison@radiotel.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1049009;RADIOTEL AUVERGNE;IC08;INDEPENDANTS;AG02;Centre-Est PGP;Z09;A. Chareyron;M20;S. Colnel;NON
1022694;MOBILE SETE BALARUC LE VIEUX;C CIAL BALARUC;;34540;BALARUC LE VIEUX;04 67 78 59 69;directionmobilesete@gmail.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1025858;MOBILE SETE;IC08;INDEPENDANTS;AG04;Méditerranée PGP;Z27;N. Salles;M33;A. Villedieu;NON
1022737;TIME ORDENER PARIS;110 RUE ORDENER;;75018;PARIS;01 53 09 30 00;espacesfrordener@hotmail.fr;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1048982;TIME ORDENER;IC08;INDEPENDANTS;AG01;Ile-de-France PGP;Z01;S. Morin;M71;B. Masset;NON
1022739;BCP DIFFUSION LUNEVILLE;6 PLACE LEOPOLD;;54300;LUNEVILLE;03 83 75 55 17;bcpdiffusion@wanadoo.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1024001;BCP DIFFUSION;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z25;A. Laroche;M78;S. Issele;NON
1022928;ABC COM LONS LE SAUNIER;25 RUE SAINT DESIRE;;39000;LONS LE SAUNIER;03 84 43 49 00;espacesfr.lons@abccom.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;869000;ABC COM;IC08;INDEPENDANTS;AG02;Centre-Est PGP;Z20;S. Verlant;M19;V. Bruneau;NON
1022974;AS TELECOM COGOLIN;71 AVENUE DE CLEMENCEAU;;83310;COGOLIN;04 94 54 06 69;sfrcogolin@as-telecom.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1016944;YOMELI;IC08;INDEPENDANTS;AG04;Méditerranée PGP;Z10;F. Depreeuw;M30;K. Said Mohamed;NON
1023242;BLUE TELECOM LAVANDOU;7 AVENUE DU GENERAL DE GAULLE;;83980;LE LAVANDOU;04 94 22 14 63;espacetelecom3@wanadoo.fr;C3;C3 Réseau Direct;S3;EspaceSFR indep 2009;1023242;BLUE TELECOM LAVANDOU;IC08;INDEPENDANTS;AG04;Méditerranée PGP;Z10;F. Depreeuw;M30;K. Said Mohamed;NON
1023251;VEGA DIFFUSION HYERES;6 AVENUE GAMBETTA;;83400;HYERES;04 94 12 72 96;vega.diffusion.hyeres@sfr.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1023476;VEGA DIFFUSION;IC08;INDEPENDANTS;AG04;Méditerranée PGP;Z16;S. Mattei;M29;M. Castaldo;NON
1023398;ROUGE COMMUNICATION ANNEMASSE;C CIAL GEANT;;74100;ANNEMASSE;04 50 38 90 71;vincent@grouperouge.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1023397;ROUGE COMMUNICATION;IC08;INDEPENDANTS;AG02;Centre-Est PGP;Z20;S. Verlant;M76;S. Benyoussef;NON
1023402;AKMAG CHATEAUBRIANT;3 PLACE DE LA MOTTE;;44110;CHATEAUBRIANT;02 40 81 07 67;magchateau@a2points.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1036456;AKMAG;IC08;INDEPENDANTS;AG03;Ouest PGP;Z22;Y. Daniel;M81;C. Jaud;NON
1023468;ESPACE COM THOUARS SAINTE VERGE;C CIAL LECLERC;;79100;SAINTE VERGE;05 49 66 63 20;thouars@aliphone.fr;C3;C3 Réseau Direct;S3;EspaceSFR indep 2009;1011906;ALIPHONE;IC08;INDEPENDANTS;AG06;Sud-Ouest PGP;Z13;D. Sauvanet;M44;P. Soetaert;NON
1023505;LCT LOURDES;24 PLACE MARCADAL;;65100;LOURDES;05 62 42 57 35;espacesfr.lourdes@lct.fr;C3;C3 Réseau Direct;V3;Corner Indep 2009;1022367;LCT;IC08;INDEPENDANTS;AG06;Sud-Ouest PGP;Z26;R. Juan;M40;L. Pravie;NON
1023553;RED CELL - VAUGIRARD PARIS 15;314 RUE DE VAUGIRARD;;75015;PARIS;01 45 30 55 55;espace.redcell@gmail.com;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1014447;RED CELL;IC08;INDEPENDANTS;AG01;Ile-de-France PGP;Z02;D. Sartori;M67;S. Vayn;NON
1023586;EM COMMUNICATION SALON DE PROVENCE;85 COURS CARNOT;;13300;SALON DE PROVENCE;04 90 56 33 80;sfr.saloncentre@gmail.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1023585;EM COMMUNICATION;IC08;INDEPENDANTS;AG04;Méditerranée PGP;Z11;L. Limbal;M36;P. Grau;NON
1023613;DETOWIN HAZEBROUCK;C CIAL CARREFOUR;PARC DE LA CREULE;59190;HAZEBROUCK;03 28 41 55 80;detowin.hazebrouck@detowin.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1023612;DETOWIN;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z05;MA. Roquette;M08;L. Ghemmaz;NON
1023614;DETOWIN AIRE SUR LA LYS;C CIAL CARREFOUR VAL DE LYS;AVENUE DE L'EUROPE;62120;AIRE SUR LA LYS;03 21 39 88 29;detowin.airesurlalys@detowin.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1023612;DETOWIN;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z05;MA. Roquette;M14;M. Lesschave;NON
1023659;SAINT JEAN TELECOM NANCY;33 RUE ST JEAN;;54000;NANCY;03 83 37 57 85;saint.jean.telecom@neuf.fr;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1001883;FISCHER TELECOM SAS;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z07;G. Dommain;M01;S. Raas;NON
1023853;LA BOUTIQUE DU GSM CAMBRAI;C CIAL AUCHAN;2 RUE JEAN JAURES;59161;ESCAUDOEUVRES;03 27 82 30 30;sfrauchancambrai@gmail.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1002342;TELE SON SERVICE;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z24;A. Courouble;M11;C. Meresse;NON
1023881;ESPACE COM BRESSUIRE;31 RUE GAMBETTA;;79300;BRESSUIRE;05 49 82 08 52;bressuire@aliphone.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1011906;ALIPHONE;IC08;INDEPENDANTS;AG06;Sud-Ouest PGP;Z13;D. Sauvanet;M44;P. Soetaert;NON
1023972;ANJOU LIAISONS RADIO ANGERS;1 AVENUE BESNARDIERE;;49100;ANGERS;02 41 43 45 48;richard.pery.alr@gmail.com;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1023971;ANJOU LIAISONS RADIO;IC08;INDEPENDANTS;AG03;Ouest PGP;Z15;PAP CVR OUEST;M47;C. Miegebielle;NON
1024004;TEMPO TELEPHONIE 2 PONT AUDEMER;30 RUE DE LA REPUBLIQUE;;27500;PONT AUDEMER;02 32 41 28 60;espacesfr.pa@sfr.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1017119;TAPES RECORDS;IC08;INDEPENDANTS;AG03;Ouest PGP;Z21;G. Allain;M51;P. Fosse;NON
1024026;JETTEL ROMILLY SUR SEINE;C CIAL LECLERC - ZA BELLE IDEE;;10100;ROMILLY SUR SEINE;03 25 21 02 31;espacesfr.romilly@jettel.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1001891;JETTEL;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z25;A. Laroche;M02;A. Cinari;NON
1024032;COME IN GP DINAN;09 RUE DE LA FERRONNERIE;;22100;DINAN;02 96 87 59 77;dinan2@come-in.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1001865;COME IN GRAND PUBLIC;IC08;INDEPENDANTS;AG03;Ouest PGP;Z22;Y. Daniel;M09;P. Quilgars;NON
1024056;BREST TELEPHONE LANDERNEAU;52 QUAI DE LEON;;29800;LANDERNEAU;02 29 62 36 06;espacesfrlanderneau@sfr.fr;C3;C3 Réseau Direct;3I;EspaceSFR indep Nv.E;1000432;BREST TELEPHONE;IC08;INDEPENDANTS;AG03;Ouest PGP;Z22;Y. Daniel;M52;T. Picquot;NON
1024114;FOX TELECOM AUXERRE 2;C CIAL GEANT;;89000;AUXERRE;03 86 18 14 14;auxerre2@foxtelecom.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1000683;FOX TELECOM;IC08;INDEPENDANTS;AG02;Centre-Est PGP;Z20;S. Verlant;M22;J. Salvat;NON
1024190;INTER'COM CARCASSONNE;C CIAL LECLERC;ALIBERT;11000;CARCASSONNE;04 68 71 01 48;espacesfrintercom@gmail.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1024190;INTER'COM CARCASSONNE;IC08;INDEPENDANTS;AG04;Méditerranée PGP;Z27;N. Salles;M72;N. De La Hoz;NON
1024194;PHONEVASION GAP LECLERC;C CIAL LECLERC;;5000;GAP;04 92 20 00 90;sfrgapleclerc@aol.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1010248;PHONEVASION;IC08;INDEPENDANTS;AG04;Méditerranée PGP;Z16;S. Mattei;M27;D. Laurent;NON
1024199;LA PUCE A L'OREILLE ST DENIS;1 PLACE JEAN JAURES;PLACE DU MARCHE - PARKING MARCHE;93200;SAINT DENIS;01 42 43 14 22;sfr1024199@hotmail.fr;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1024199;LA PUCE A L'OREILLE ST DENIS;IC08;INDEPENDANTS;AG01;Ile-de-France PGP;Z01;S. Morin;M71;B. Masset;NON
1024203;DOMI COM PARIS 7;60 RUE SAINT DOMINIQUE;;75007;PARIS;01 45 50 24 24;espace.redcell@gmail.com;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1024203;DOMI COM PARIS 7;IC08;INDEPENDANTS;AG01;Ile-de-France PGP;Z06;O. Fernandes;M61;S. El Korbi;NON
1024364;VD COM ANCENIS;325 BOULEVARD DE LA PRAIRIE;;44150;ANCENIS;02 40 98 04 04;vdcomancenis@vdcom.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;368000;VD COM SAS;IC08;INDEPENDANTS;AG03;Ouest PGP;Z22;Y. Daniel;M81;C. Jaud;NON
1024460;ATLANTIC TELECOM ST GILLES;37 QUAI DU PORT FIDELE;;85800;SAINT GILLES CROIX DE VIE;02 51 26 95 80;atlantic.telecom.saintgilles@sfr.fr;C3;C3 Réseau Direct;S3;EspaceSFR indep 2009;1006505;ATLANTIC TELECOM;IC08;INDEPENDANTS;AG03;Ouest PGP;Z22;Y. Daniel;M53;C. Dupont Mancel;NON
1024484;DETOWIN ABBEVILLE;18 RUE DES LINGERS;;80100;ABBEVILLE;03 64 24 59 77;detowin.abbeville@detowin.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1023612;DETOWIN;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z24;A. Courouble;M11;C. Meresse;NON
1024586;ESPACE 06 GISORS;14 RUE DU GENERAL DE GAULLE;;27140;GISORS;02 32 55 22 70;sfrespacegisors@gmail.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1024588;ESPACE 06;IC08;INDEPENDANTS;AG03;Ouest PGP;Z21;G. Allain;M51;P. Fosse;NON
1024591;ESPACE COM PARTHENAY;BOULEVARD DE L EUROPE;;79200;PARTHENAY;05 49 63 23 38;parthenay@aliphone.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1011906;ALIPHONE;IC08;INDEPENDANTS;AG06;Sud-Ouest PGP;Z13;D. Sauvanet;M44;P. Soetaert;NON
1024598;CDT COMPTOIR DES TELECOMS MOISSAC;13 RUE DE LA REPUBLIQUE;;82200;MOISSAC;05 63 32 49 35;espace.sfr.moissac@sfr.fr;C3;C3 Réseau Direct;S3;EspaceSFR indep 2009;1024598;CDT COMPTOIR DES TELECOMS MOISSAC;IC08;INDEPENDANTS;AG06;Sud-Ouest PGP;Z26;R. Juan;M39;I. Trift;NON
